"country","datstat_altpid","d_routine_documented_meeting","d_medical_documented_meeting","d_cultural_training_any","d_hr_evaluation","management_domain_count4"
"MEX","F305",1,1,1,1,4
"MEX","F306",1,0,1,1,3
"MEX","F307",0,1,1,0,2
"MEX","F308",0,0,1,0,1
"MEX","F309",0,0,NA,1,1
"MEX","F310",0,0,1,1,2
"MEX","F311",0,0,1,0,1
"MEX","F312",0,1,1,1,3
"MEX","F313",1,1,1,0,3
"MEX","F314",0,0,1,1,2
"MEX","F315",1,1,1,0,3
"MEX","F317",0,0,1,0,1
"MEX","F318",0,0,NA,1,1
"MEX","F319",0,1,NA,1,2
"MEX","F320",0,0,NA,0,0
"MEX","F322",0,0,NA,0,0
"MEX","F323",1,1,1,0,3
"NIC","F05",1,1,1,0,3
"NIC","F205",1,1,1,1,4
"NIC","F210",1,1,1,1,4
"NIC","F226",NA,NA,1,0,1
"NIC","F301",1,1,NA,1,3
"NIC","F302",1,1,NA,1,3
"NIC","F303",1,1,1,1,4
"NIC","F304",1,1,1,1,4
"NIC","F305",1,1,1,0,3
"NIC","F306",1,1,1,0,3
"NIC","F307",1,1,1,1,4
"NIC","F308",1,1,1,1,4
"NIC","F311",NA,NA,NA,0,0
"NIC","F312",NA,NA,1,0,1
"NIC","F313",NA,NA,1,0,1
"NIC","F314",NA,NA,1,0,1
"NIC","F315",NA,NA,NA,0,0
"NIC","F316",NA,NA,1,0,1
"NIC","F317",NA,NA,1,0,1
"NIC","F319",NA,NA,1,0,1
"NIC","F320",NA,NA,1,0,1
"NIC","F322",NA,NA,1,0,1
"NIC","F323",NA,NA,1,0,1
"PAN","F03",0,0,1,1,2
"PAN","F04",0,0,1,0,1
"PAN","F05",0,0,1,0,1
"PAN","F06",1,1,1,0,3
"PAN","F12",0,0,1,0,1
"PAN","F18",0,0,NA,1,1
"PAN","F19",0,0,NA,0,0
"PAN","F21",1,0,1,1,3
"PAN","F31",0,0,1,0,1
"PAN","F36",0,0,1,0,1
"PAN","F39",0,0,1,1,2
"PAN","F40",0,0,1,0,1
"SLV","F05",1,1,1,0,3
"SLV","F06",1,1,NA,0,2
"SLV","F18",1,1,NA,0,2
"SLV","F19",1,1,1,0,3
"SLV","F301",1,1,NA,0,2
"SLV","F302",1,1,NA,0,2
"SLV","F303",1,1,NA,0,2
"SLV","F304",1,1,1,0,3
"SLV","F305",1,1,NA,0,2
"SLV","F306",1,1,NA,0,2
"SLV","F307",1,1,NA,0,2
"SLV","F308",1,1,NA,0,2
"SLV","F309",1,1,NA,0,2
"SLV","F310",1,1,NA,0,2
"SLV","F311",1,1,NA,0,2
"SLV","F312",1,1,NA,0,2
"SLV","F313",1,1,NA,0,2
"SLV","F314",1,1,NA,0,2
"SLV","F315",1,1,NA,0,2
"SLV","F316",1,1,NA,0,2
"SLV","F317",1,1,NA,0,2
"SLV","F36",1,1,NA,0,2
"SLV","F52",1,1,NA,0,2
"SLV","F55",1,1,NA,0,2
"SLV","F60",1,1,1,0,3
